incident_id,timestamp,date,crime_type,attack_method,severity,financial_impact_usd,target_type,location,source_ip_country,system_affected,time_of_day,risk_score
INC-2025-0001,2025-07-08 20:00:00,2025-07-08,Ransomware,Social Engineering,Medium,694167.0,Government,Asia-Pacific,JP,Web Application,Night,31.5
INC-2025-0002,2025-12-10 11:00:00,2025-12-10,Phishing,Brute Force,Low,1769.0,Educational Institution,Africa,CN,Active Directory,Morning,31.5
INC-2025-0003,2025-12-11 16:00:00,2025-12-11,DDoS Attack,Zero-day Exploit,Medium,263795.0,Critical Infrastructure,Latin America,RU,Active Directory,Evening,5.0
INC-2025-0004,2025-05-15 20:00:00,2025-05-15,Data Exfiltration,Spear Phishing Email,Low,578178.0,Financial Service,Europe,BR,Cloud Database,Night,44.1
INC-2025-0005,2025-12-06 14:00:00,2025-12-06,Credential Theft,Zero-day Exploit,Medium,73148.0,Tech Enterprise,Asia-Pacific,US,Active Directory,Afternoon,49.2
INC-2025-0006,2025-04-16 03:00:00,2025-04-16,DDoS Attack,Zero-day Exploit,Medium,245181.0,Educational Institution,Middle East,CN,Identity Provider,Night,58.7
INC-2025-0007,2025-10-31 14:00:00,2025-10-31,Malware Outbreak,Ransomware Binary,Critical,33606.0,E-Commerce,Europe,DE,Identity Provider,Morning,63.3
INC-2025-0008,2025-01-15 12:00:00,2025-01-15,Ransomware,SQL Injection,High,612332.0,Financial Service,North America,IN,Cloud Database,Night,60.5
INC-2025-0009,2025-03-22 07:00:00,2025-03-22,Ransomware,Man-in-the-Middle,Low,186330.0,E-Commerce,Europe,IN,Identity Provider,Morning,48.4
INC-2025-0010,2025-02-02 15:00:00,2025-02-02,Malware Outbreak,Spear Phishing Email,Medium,114569.0,Tech Enterprise,Africa,JP,Web Application,Evening,46.3
INC-2025-0011,2025-08-15 04:00:00,2025-08-15,DDoS Attack,Ransomware Binary,Critical,206664.0,Educational Institution,Asia-Pacific,NL,Identity Provider,Afternoon,51.0
INC-2025-0012,2025-08-29 19:00:00,2025-08-29,Credential Theft,Brute Force,Low,253550.0,E-Commerce,Latin America,DE,Web Application,Evening,46.8
INC-2025-0013,2025-10-11 01:00:00,2025-10-11,Insider Threat,SQL Injection,Critical,429989.0,E-Commerce,Africa,BR,Email Gateway,Afternoon,43.0
INC-2025-0014,2025-07-09 00:00:00,2025-07-09,Credential Theft,Zero-day Exploit,Low,49262.0,,North America,NL,Active Directory,Morning,48.4
INC-2025-0015,2025-05-17 04:00:00,2025-05-17,Financial Fraud,API Key Abuse,Low,141602.0,Tech Enterprise,Asia-Pacific,UK,Cloud Database,Night,18.6
INC-2025-0016,2025-10-22 01:00:00,2025-10-22,Ransomware,Spear Phishing Email,High,264283.0,Government,North America,DE,Cloud Database,Night,78.7
INC-2025-0017,2025-02-23 22:00:00,2025-02-23,Phishing,Spear Phishing Email,Critical,113859.0,Government,Africa,CN,Web Application,Night,72.2
INC-2025-0018,2025-07-22 23:00:00,2025-07-22,Credential Theft,Ransomware Binary,Medium,75467.0,Government,North America,UK,Web Application,Night,31.1
